rank	degree	gene	p-value
1	26939	TP53	7.423904974016333e-05
2	26460	PIK3CA	7.558293337364423e-05
3	5184	EP300	0.0003857280617164899
4	4140	AKT1	0.0004829751267809708
5	3185	CDH1	0.0006277463904582549
6	2704	KMT2C	0.0007393715341959334
7	2304	GATA3	0.0008676789587852494
8	2064	NCOR2	0.0009685230024213075
9	2059	PIK3R1	0.000970873786407767
10	1848	MAP3K1	0.001081665765278529
11	1836	NOTCH1	0.0010887316276537834
12	1800	ERBB3	0.001110494169905608
13	1712	NCOR1	0.0011675423234092236
14	1656	ERBB2	0.0012070006035003018
15	1652	NF1	0.0012099213551119178
16	1568	CBFB	0.0012746972594008922
17	1564	EGFR	0.0012779552715654952
18	1350	ARID1A	0.0014803849000740192
19	1210	BRCA1	0.0016515276630883566
20	1008	CTCF	0.0019821605550049554
21	999	SMAD4	0.002
22	944	NCOA3	0.0021164021164021165
23	912	JAK1	0.002190580503833516
24	910	RUNX1	0.0021953896816684962
25	904	ATR	0.0022099447513812156
26	865	AKAP9	0.0023094688221709007
27	833	ERBB4	0.002398081534772182
28	780	TAF1	0.002560819462227913
29	765	SMARCC2	0.0026109660574412533
30	744	HERC2	0.0026845637583892616
31	728	FOXO3	0.0027434842249657062
32	682	PRKCZ	0.0029282576866764276
33	654	RYR2	0.0030534351145038168
34	630	SMARCC1	0.003169572107765452
35	612	PRKCQ	0.0032626427406199023
36	588	FOXO1	0.003395585738539898
37	570	ALK	0.0035026269702276708
38	555	ARID1B	0.0035971223021582736
39	483	APC	0.004132231404958678
40	465	MLLT4	0.004291845493562232
41	414	AKT2	0.004819277108433735
42	414	NR3C1	0.004819277108433735
43	408	KDM3A	0.004889975550122249
44	385	MEN1	0.0051813471502590676
45	377	PRKCE	0.005291005291005291
46	374	STK11	0.005333333333333333
47	362	BIRC6	0.005509641873278237
48	360	FANCD2	0.00554016620498615
49	354	PBRM1	0.005633802816901409
50	352	CTNNA1	0.0056657223796034
51	350	ARID2	0.005698005698005698
52	312	LAMA2	0.006389776357827476
53	308	KRAS	0.006472491909385114
54	300	BRCA2	0.006644518272425249
55	294	SETD1A	0.006779661016949152
56	288	ASXL1	0.006920415224913495
57	270	KDM6A	0.007380073800738007
58	259	HDAC9	0.007692307692307693
59	252	FLT3	0.007905138339920948
60	252	FANCA	0.007905138339920948
61	242	PRKACG	0.00823045267489712
62	234	USP9X	0.00851063829787234
63	231	CDKN2A	0.008620689655172414
64	230	BRAF	0.008658008658008658
65	220	LIFR	0.00904977375565611
66	170	TBL1XR1	0.011695906432748537
67	170	SMAD2	0.011695906432748537
68	168	CTNNA3	0.011834319526627219
69	168	HRAS	0.011834319526627219
70	166	UTRN	0.011976047904191617
71	165	BRIP1	0.012048192771084338
72	150	CACNA2D3	0.013245033112582781
73	147	PPP2R2A	0.013513513513513514
74	138	BAP1	0.014388489208633094
75	126	L1CAM	0.015748031496062992
76	125	CHEK2	0.015873015873015872
77	120	GH1	0.01652892561983471
78	119	SHANK2	0.016666666666666666
79	117	SMARCD1	0.01694915254237288
80	117	SIK2	0.01694915254237288
81	105	CCND3	0.018867924528301886
82	103	PTPRD	0.019230769230769232
83	90	SMARCB1	0.02197802197802198
84	89	SF3B1	0.022222222222222223
85	87	PRKG1	0.022727272727272728
86	86	UBR5	0.022988505747126436
87	84	CASP8	0.023529411764705882
88	81	PTPRM	0.024390243902439025
89	74	BCAS3	0.02666666666666667
90	62	ASXL2	0.031746031746031744
91	60	NRAS	0.03278688524590164
92	57	NF2	0.034482758620689655
93	55	PPP2CB	0.03571428571428571
94	54	ARID5B	0.03636363636363636
95	54	FOXP1	0.03636363636363636
96	50	TAF4B	0.0392156862745098
97	48	NRG3	0.04081632653061224
98	46	SETDB1	0.0425531914893617
99	40	ACVRL1	0.04878048780487805
100	30	SIAH1	0.06451612903225806
101	30	NR2F1	0.06451612903225806
102	28	PTPN22	0.06896551724137931
103	26	OR6A2	0.07407407407407407
104	7	KLRG1	0.25
105	0	STAB2	2.0
106	0	NT5E	2.0
107	0	DCAF4L2	2.0
108	0	THSD7A	2.0
109	0	MBL2	2.0
110	0	TTYH1	2.0
111	0	AFF2	2.0
112	0	DNAH11	2.0
113	0	PALLD	2.0
114	0	PRR16	2.0
115	0	CHD1	2.0
116	0	MYO1A	2.0
117	0	RPGR	2.0
118	0	COL22A1	2.0
119	0	SETD2	2.0
120	0	NPNT	2.0
121	0	NEK1	2.0
122	0	RASGEF1B	2.0
123	0	SBNO1	2.0
124	0	USH2A	2.0
125	0	MYH9	2.0
126	0	MTAP	2.0
127	0	SYNE1	2.0
128	0	MAP3K13	2.0
129	0	GPR32	2.0
130	0	LARGE	2.0
131	0	DNAH2	2.0
132	0	FRMD3	2.0
133	0	USP28	2.0
134	0	AGMO	2.0
135	0	SPACA1	2.0
136	0	GPR124	2.0
137	0	HIST1H2BC	2.0
138	0	MUC16	2.0
139	0	TG	2.0
140	0	AHNAK2	2.0
141	0	DTWD2	2.0
142	0	CLK3	2.0
143	0	LIPI	2.0
144	0	THADA	2.0
145	0	PRPS2	2.0
146	0	MYO3A	2.0
147	0	CLRN2	2.0
148	0	GLDC	2.0
149	0	DNAH5	2.0
150	0	NDFIP1	2.0
151	0	LDLRAP1	2.0
