rank	degree	gene	p-value
1	68500	TP53	2.919665406344433e-05
2	20904	PTEN	9.567089213106912e-05
3	18603	PIK3R1	0.00010750376263169211
4	16948	PIK3CA	0.00011800106200955809
5	8853	RB1	0.00022588660492432798
6	7744	EP300	0.0002582311168495804
7	5264	NF1	0.0003798670465337132
8	5168	PLCG2	0.0003869220352099052
9	4668	PRKACA	0.00042835724994645533
10	4536	UBC	0.00044081992506061276
11	3960	PDGFRA	0.0005049229992426155
12	3874	PTPN11	0.0005161290322580645
13	3520	PIK3CB	0.0005680204487361545
14	3474	CREBBP	0.0005755395683453237
15	3402	SP1	0.0005877167205406994
16	3360	SPTA1	0.0005950609937518596
17	3150	LRP2	0.0006347191367819739
18	3074	APOB	0.0006504065040650406
19	2990	PIK3CG	0.0006686726847208291
20	2860	DYNC1I1	0.0006990562740300594
21	2850	KDR	0.0007015082427218519
22	2850	MUC16	0.0007015082427218519
23	2842	ITGB2	0.0007034822370735139
24	2735	JUN	0.0007309941520467836
25	2570	SRC	0.0007779074290159471
26	2556	PRKCB	0.0007821666014861165
27	2508	STAG2	0.0007971303308090873
28	2464	ARRB1	0.0008113590263691683
29	2457	ESR1	0.0008136696501220504
30	2456	DYNC1H1	0.000814000814000814
31	2394	PLCG1	0.0008350730688935282
32	2340	KIF2B	0.0008543357539513029
33	2300	EGF	0.000869187309865276
34	2256	UBA52	0.0008861320336730173
35	2254	RYR2	0.0008869179600886918
36	2211	TAF1	0.0009041591320072332
37	2090	HNF4A	0.0009564801530368245
38	2080	FLNA	0.0009610764055742432
39	2030	FAT2	0.0009847365829640572
40	2015	COL6A3	0.000992063492063492
41	1992	STAT1	0.0010035122930255895
42	1986	RXRA	0.0010065425264217413
43	1944	GNAT3	0.0010282776349614395
44	1944	POLR2A	0.0010282776349614395
45	1890	ITGAM	0.0010576414595452142
46	1872	IGF1R	0.0010678056593699946
47	1860	PIK3R2	0.0010746910263299302
48	1809	NCOR1	0.0011049723756906078
49	1800	SOS1	0.001110494169905608
50	1793	PLCB2	0.0011148272017837235
51	1778	BRCA1	0.0011242270938729624
52	1756	MAPK3	0.0011383039271485487
53	1750	ERBB2	0.001142204454597373
54	1744	STAT2	0.001146131805157593
55	1740	JAK2	0.0011487650775416428
56	1728	ANK2	0.001156737998843262
57	1722	DCTN1	0.0011607661056297156
58	1716	APC	0.0011648223645894002
59	1716	ATRX	0.0011648223645894002
60	1679	FLG	0.0011904761904761906
61	1656	CUL1	0.0012070006035003018
62	1650	FN1	0.0012113870381586917
63	1620	COL1A2	0.0012338062924120913
64	1611	VAV1	0.0012406947890818859
65	1596	SRRM2	0.0012523481527864746
66	1590	FOXA1	0.001257071024512885
67	1584	GRIN2A	0.0012618296529968455
68	1582	PDGFRB	0.0012634238787113076
69	1542	NFKB1	0.0012961762799740765
70	1540	HSP90AA1	0.0012978585334198572
71	1512	HSPG2	0.0013218770654329147
72	1470	EGR1	0.0013596193065941536
73	1434	MAPK1	0.0013937282229965157
74	1406	MUC17	0.0014214641080312722
75	1394	HUWE1	0.0014336917562724014
76	1364	NOS1	0.0014652014652014652
77	1350	TCF12	0.0014803849000740192
78	1350	PTPN6	0.0014803849000740192
79	1344	MET	0.001486988847583643
80	1332	SMARCA4	0.0015003750937734434
81	1312	LAMA1	0.0015232292460015233
82	1296	RELN	0.0015420200462606013
83	1288	NCOA2	0.0015515903801396431
84	1287	PRPF8	0.0015527950310559005
85	1275	ESPL1	0.001567398119122257
86	1265	PCNT	0.001579778830963665
87	1260	KIT	0.0015860428231562252
88	1258	PRKACG	0.0015885623510722795
89	1250	ATR	0.0015987210231814548
90	1246	GRIN2B	0.0016038492381716118
91	1244	ARRB2	0.001606425702811245
92	1239	VWF	0.0016129032258064516
93	1225	CPSF1	0.0016313213703099511
94	1215	TPR	0.001644736842105263
95	1215	GLI1	0.001644736842105263
96	1200	CDH1	0.0016652789342214821
97	1188	GNAL	0.001682085786375105
98	1188	NRAS	0.001682085786375105
99	1184	TUBB4A	0.0016877637130801688
100	1179	BIN1	0.001694915254237288
101	1168	PCDHA1	0.001710863986313088
102	1165	NCOA3	0.0017152658662092624
103	1164	SRSF11	0.0017167381974248926
104	1164	AKT1	0.0017167381974248926
105	1161	NFATC1	0.0017211703958691911
106	1155	LCK	0.0017301038062283738
107	1152	TP63	0.0017346053772766695
108	1146	ERBB3	0.0017436791630340018
109	1144	CFTR	0.0017467248908296944
110	1144	KMT2C	0.0017467248908296944
111	1134	HCK	0.001762114537444934
112	1127	PLCB1	0.0017730496453900709
113	1125	GLI3	0.0017761989342806395
114	1125	IL12RB1	0.0017761989342806395
115	1122	HTT	0.0017809439002671415
116	1120	PCDH11X	0.001784121320249777
117	1116	ITGA4	0.0017905102954341987
118	1116	CLASP1	0.0017905102954341987
119	1104	NUP98	0.0018099547511312218
120	1100	DVL2	0.0018165304268846503
121	1084	LYN	0.0018433179723502304
122	1078	FLT3	0.0018535681186283596
123	1078	ANK1	0.0018535681186283596
124	1067	FLT1	0.0018726591760299626
125	1065	DMD	0.001876172607879925
126	1064	RNF213	0.0018779342723004694
127	1062	PSMC4	0.0018814675446848542
128	1060	TRRAP	0.001885014137606032
129	1056	ITGAX	0.001892147587511826
130	1056	CKAP5	0.001892147587511826
131	1056	CTNNB1	0.001892147587511826
132	1050	ITGB4	0.0019029495718363464
133	1044	MYH2	0.0019138755980861245
134	1044	FLT4	0.0019138755980861245
135	1043	DNM2	0.0019157088122605363
136	1035	ACTB	0.0019305019305019305
137	1023	RAD21	0.001953125
138	1023	ALMS1	0.001953125
139	1020	CACNA1C	0.0019588638589618022
140	1020	KAT5	0.0019588638589618022
141	1014	RTP1	0.0019704433497536944
142	1008	CELSR1	0.0019821605550049554
143	1008	CTNNA2	0.0019821605550049554
144	1008	ITSN1	0.0019821605550049554
145	1003	CACNA1S	0.00199203187250996
146	1001	CSF2RA	0.001996007984031936
147	1001	PCDHA9	0.001996007984031936
148	995	JAK1	0.002008032128514056
149	994	ITGAD	0.0020100502512562816
150	993	HDAC1	0.002012072434607646
151	990	RANBP2	0.0020181634712411706
152	988	CACNA1D	0.0020222446916076846
153	987	PRKCD	0.0020242914979757085
154	987	SNRNP200	0.0020242914979757085
155	984	SYNJ2	0.0020304568527918783
156	980	PCDHA12	0.0020387359836901123
157	970	IL4R	0.0020597322348094747
158	970	MAP3K1	0.0020597322348094747
159	966	ITGB7	0.002068252326783868
160	966	JAK3	0.002068252326783868
161	960	GRM1	0.002081165452653486
162	960	NCBP1	0.002081165452653486
163	960	MED12	0.002081165452653486
164	960	RPL5	0.002081165452653486
165	954	MTOR	0.0020942408376963353
166	948	FBXW7	0.002107481559536354
167	946	PGR	0.0021119324181626186
168	945	PTK2B	0.0021141649048625794
169	945	POLR2B	0.0021141649048625794
170	944	ITGA8	0.0021164021164021165
171	944	POM121	0.0021164021164021165
172	942	STAT3	0.0021208907741251328
173	936	CBL	0.0021344717182497333
174	936	COL5A1	0.0021344717182497333
175	936	NUP205	0.0021344717182497333
176	936	PLCB4	0.0021344717182497333
177	934	GRB2	0.0021390374331550803
178	930	LRP1	0.0021482277121374865
179	928	LRRK2	0.002152852529601722
180	924	ITGB3	0.002162162162162162
181	920	TLN1	0.002171552660152009
182	920	RUNX2	0.002171552660152009
183	910	PCDHA3	0.0021953896816684962
184	910	FAT3	0.0021953896816684962
185	910	PCDHGA2	0.0021953896816684962
186	910	PCDHA2	0.0021953896816684962
187	906	SMC3	0.002205071664829107
188	900	CTCF	0.0022197558268590455
189	896	FGFR1	0.002229654403567447
190	882	PRKCA	0.0022650056625141564
191	882	ITGA10	0.0022650056625141564
192	880	GRM3	0.0022701475595913734
193	880	FLNB	0.0022701475595913734
194	873	BCLAF1	0.002288329519450801
195	870	U2SURP	0.002296211251435132
196	869	LRP5	0.0022988505747126436
197	864	SPTBN2	0.0023121387283236996
198	864	FYN	0.0023121387283236996
199	861	GLI2	0.002320185614849188
200	861	TAF1L	0.002320185614849188
201	860	CREB3L3	0.0023228803716608595
202	860	SYMPK	0.0023228803716608595
203	860	IKBKB	0.0023228803716608595
204	852	TRAF2	0.0023446658851113715
