rank	degree	gene	p-value
1	190976	TP53	1.0472465270687047e-05
2	11184	EP300	0.0001788109074653554
3	7404	UBC	0.0002700877785280216
4	6235	TTN	0.00032071840923669016
5	6069	DYNC1H1	0.00032948929159802305
6	5556	EGFR	0.00035990642432967427
7	4587	PIK3CA	0.00043591979075850045
8	4374	BRCA1	0.00045714285714285713
9	3504	RB1	0.0005706134094151213
10	2970	PRKCB	0.0006731740154830024
11	2772	PIK3CB	0.000721240533717995
12	2760	NCOA3	0.0007243752263672582
13	2629	DCTN1	0.0007604562737642585
14	2561	TAF1	0.00078064012490242
15	2507	LRRK2	0.0007974481658692185
16	2470	SRC	0.0008093889113719142
17	2448	PRKACB	0.0008166598611678236
18	2376	LRP2	0.0008413967185527977
19	2265	STAT3	0.00088261253309797
20	2168	SP1	0.0009220839096357768
21	2108	FAT3	0.000948316737790422
22	2088	HTT	0.0009573958831977022
23	2070	NCOR2	0.0009657170449058426
24	2004	PDGFRA	0.000997506234413965
25	1960	ATM	0.0010198878123406426
26	1926	POLR2A	0.0010378827192527244
27	1908	NFKB1	0.0010476689366160294
28	1881	ALMS1	0.0010626992561105207
29	1850	GNAL	0.0010804970286331713
30	1850	PCDH15	0.0010804970286331713
31	1808	MYC	0.001105583195135434
32	1804	CACNA1C	0.00110803324099723
33	1800	PIK3R1	0.001110494169905608
34	1764	AKAP9	0.0011331444759206798
35	1760	POLR2H	0.001135718341851221
36	1755	INSR	0.0011389521640091116
37	1738	PLCB1	0.0011500862564692352
38	1737	PRKCG	0.0011507479861910242
39	1729	KDR	0.0011560693641618498
40	1728	ARRB1	0.001156737998843262
41	1716	SNRNP200	0.0011648223645894002
42	1716	COL6A3	0.0011648223645894002
43	1704	KRAS	0.0011730205278592375
44	1668	APC	0.0011983223487118035
45	1655	PLK1	0.0012077294685990338
46	1640	NUP160	0.001218769043266301
47	1638	RANBP2	0.0012202562538133007
48	1636	STAT2	0.0012217470983506415
49	1632	KMT2C	0.001224739742804654
50	1620	LRP1	0.0012338062924120913
51	1610	PLCG1	0.0012414649286157666
52	1598	RYR2	0.0012507817385866166
53	1584	ERBB3	0.0012618296529968455
54	1584	MTOR	0.0012618296529968455
55	1575	POLR2B	0.0012690355329949238
56	1573	SYNJ1	0.0012706480304955528
57	1552	NCOR1	0.00128783000643915
58	1540	RNF213	0.0012978585334198572
59	1530	MUC16	0.0013063357282821686
60	1512	PXN	0.0013218770654329147
61	1512	HSP90AA1	0.0013218770654329147
62	1500	PLCB4	0.0013324450366422385
63	1500	PRKACA	0.0013324450366422385
64	1497	CTNNB1	0.0013351134846461949
65	1496	ANK2	0.0013360053440213762
66	1496	DMD	0.0013360053440213762
67	1485	FN1	0.0013458950201884253
68	1470	CTCF	0.0013596193065941536
69	1426	UBA52	0.001401541695865452
70	1415	PRKCA	0.0014124293785310734
71	1414	DYNC1I1	0.0014134275618374558
72	1390	IRS1	0.0014378145219266715
73	1386	JAK3	0.0014419610670511895
74	1386	ERBB2	0.0014419610670511895
75	1380	AR	0.001448225923244026
76	1376	NOTCH4	0.0014524328249818446
77	1370	NRAS	0.0014587892049598833
78	1368	HUWE1	0.0014609203798392988
79	1360	NUP98	0.0014695077149155032
80	1360	PPP2R1A	0.0014695077149155032
81	1360	COL11A1	0.0014695077149155032
82	1356	ESR1	0.0014738393515106854
83	1350	SRRM2	0.0014803849000740192
84	1340	PPARGC1A	0.0014914243102162564
85	1332	GLI2	0.0015003750937734434
86	1330	FAT1	0.0015026296018031556
87	1328	CKAP5	0.0015048908954100827
88	1308	JAK2	0.0015278838808250573
89	1305	STAT6	0.0015313935681470138
90	1296	DNM2	0.0015420200462606013
91	1288	PTK2B	0.0015515903801396431
92	1287	EIF4G1	0.0015527950310559005
93	1287	FBXW7	0.0015527950310559005
94	1285	PLCG2	0.0015552099533437014
95	1284	MAPK14	0.0015564202334630351
96	1275	MAPK3	0.001567398119122257
97	1272	PLCB2	0.0015710919088766694
98	1268	RTP1	0.0015760441292356187
99	1266	ABL1	0.0015785319652722968
100	1255	ACTG1	0.0015923566878980893
101	1254	TLN1	0.0015936254980079682
102	1248	CLTCL1	0.0016012810248198558
103	1246	STAT1	0.0016038492381716118
104	1246	FLNB	0.0016038492381716118
105	1235	TOP2A	0.0016181229773462784
106	1232	CDK5RAP2	0.0016220600162206002
107	1230	MUC17	0.0016246953696181965
108	1225	AQR	0.0016313213703099511
109	1218	NCOA2	0.0016406890894175555
110	1208	ITGB4	0.0016542597187758478
111	1207	SPTA1	0.0016556291390728477
112	1204	MET	0.0016597510373443983
113	1204	PRKACG	0.0016597510373443983
114	1200	KIT	0.0016652789342214821
115	1173	HSPG2	0.0017035775127768314
116	1160	VWF	0.0017226528854435831
117	1152	ARRB2	0.0017346053772766695
118	1146	PDGFRB	0.0017436791630340018
119	1141	GNAS	0.0017513134851138354
120	1140	COL17A1	0.0017528483786152498
121	1125	PCNT	0.0017761989342806395
122	1120	CDC5L	0.001784121320249777
123	1100	SYK	0.0018165304268846503
124	1099	HCK	0.0018181818181818182
125	1098	NUP214	0.0018198362147406734
126	1088	RNPS1	0.0018365472910927456
127	1080	DDX5	0.0018501387604070306
128	1080	VCAN	0.0018501387604070306
129	1079	COL7A1	0.001851851851851852
130	1067	IL12RB2	0.0018726591760299626
131	1064	ACTN2	0.0018779342723004694
132	1062	SRRT	0.0018814675446848542
133	1053	CENPF	0.0018975332068311196
134	1044	LYN	0.0019138755980861245
135	1034	JUN	0.001932367149758454
136	1030	TCF12	0.0019398642095053346
137	1020	CNTRL	0.0019588638589618022
138	1015	SMARCA4	0.001968503937007874
139	1012	SMAD4	0.0019743336623889436
140	1008	PTEN	0.0019821605550049554
141	1008	CENPE	0.0019821605550049554
142	1005	COL4A4	0.0019880715705765406
143	1001	VCL	0.001996007984031936
144	996	NUP133	0.0020060180541624875
145	995	CDH1	0.002008032128514056
146	988	PIK3CD	0.0020222446916076846
147	981	NUP205	0.002036659877800407
148	978	MNAT1	0.0020429009193054137
149	975	SPTB	0.0020491803278688526
150	973	PSME4	0.002053388090349076
151	969	GNAI3	0.002061855670103093
152	966	LAMC1	0.002068252326783868
153	966	CELSR2	0.002068252326783868
154	962	CACNA1D	0.0020768431983385254
155	960	COL5A3	0.002081165452653486
156	960	ATR	0.002081165452653486
157	960	VAV3	0.002081165452653486
158	954	RAD21	0.0020942408376963353
159	952	DHX16	0.002098635886673662
160	951	HDAC1	0.0021008403361344537
161	950	ITK	0.002103049421661409
162	945	NTRK1	0.0021141649048625794
163	945	COL4A6	0.0021141649048625794
164	936	PLCB3	0.0021344717182497333
165	936	LAMA3	0.0021344717182497333
166	933	PTK2	0.0021413276231263384
167	933	POLR2I	0.0021413276231263384
168	924	SPTAN1	0.002162162162162162
169	920	ITGB2	0.002171552660152009
170	917	SMC3	0.002178649237472767
171	916	GTF2F2	0.0021810250817884407
172	916	EGF	0.0021810250817884407
173	916	UPF3B	0.0021810250817884407
174	915	NCOA1	0.002183406113537118
175	912	STAT4	0.002190580503833516
176	910	PIK3CG	0.0021953896816684962
177	910	CDH23	0.0021953896816684962
178	909	NINL	0.002197802197802198
179	908	EGR1	0.0022002200220022
180	900	NUMA1	0.0022197558268590455
181	894	PRPF6	0.0022346368715083797
182	894	MED1	0.0022346368715083797
183	888	PRKDC	0.0022497187851518562
184	884	ANK3	0.0022598870056497176
